,,,source,author,title,description,url,urlToImage,publishedAt,content,category,country
,,,"{'id': None, 'name': 'Livemint'}",Livemint,"India Q4 GDP LIVE updates: Sensex, Nifty 50 close lower as traders eye GDP data; banking stocks drag most | Mint - Mint","India's GDP data will be out today.According to the RBI's Q4 estimates, India's real GDP growth will stand at 5.1%",https://www.livemint.com/news/india/india-q4-gdp-live-updates-nso-to-release-gdp-data-for-january-march-2023-quarter-11685504900602.html,https://www.livemint.com/lm-img/img/2023/05/31/600x338/INDIA-INFRASTRUCTURE-1_1685505210468_1685505227434.jpg,2023-05-31T10:06:52Z,"The Central government's NSO office on Wednesday will release India's Gross Domestic Product (GDP) data for the January-March quarter (Q4FY2023). As per the latest projections, India's GDP has grown â€¦ [+8196 chars]",business,in
,,,"{'id': None, 'name': 'Financial Express'}",The Financial Express,"Share Market LIVE: Nifty settles below 18550, Sensex tanks 350 pts; Bank Nifty below 44150, ONGC, NTPC fall - The Financial Express",,https://www.financialexpress.com/market/share-market-today-live-updates-sensex-nifty-rupee-vs-dollar-sgx-nifty-asia-us-market-adani-ports-coal-india-stocks-wednesday-31-may/3108290/,,2023-05-31T10:06:40Z,,business,in
,,,"{'id': None, 'name': 'Bqprime.com'}",Rishabh Mishra,"Stock Market Today: Sensex, Nifty Snap Four-Day Gains As RIL, HDFC Twins, Axis Bank Drag - BQ Prime","Sensex closed down 347 points or 0.55% at 62,622.24 while Nifty was lower 100 points or 0.53% at 18,534.40.",https://www.bqprime.com/markets/stock-market-live-updates-31-may-2023-sgx-nifty-signals-cautious-start-adani-ports-welspun-corp-patanjali-coal-india-in-focus,https://gumlet.assettype.com/bloombergquint%2F2023-02%2F7b95c57f-d5fc-46a0-a35e-04172624f85b%2F_1x_1.jpg?rect=0%2C137%2C2000%2C1050&w=1200&auto=format%2Ccompress&ogImage=true,2023-05-31T10:04:57Z,"Indian equity benchmarks declined through Wednesday amid weak global trade as banks and financials declined with HDFC twins, Axis Bank and SBI dragging the most. The headline indices snapped four dayâ€¦ [+706 chars]",business,in
,,,"{'id': None, 'name': 'NDTV News'}",,"India Different Than In 2013: Morgan Stanley's ""Transformation"" Report - NDTV Profit","India, under Prime Minister Narendra Modi, has transformed, gaining a position in the world order and becoming a key driver for Asia and global growth, said Morgan Stanley.",https://www.ndtv.com/business/india-to-emerge-as-key-driver-of-asian-global-growth-morgan-stanley-4081398,https://c.ndtvimg.com/delhi-meerut-expressway-eastern-peripheral-expressway_625x300_1527417185928.jpg,2023-05-31T09:13:00Z,"India has witnessed a significant transformation in several areas, especially manufacturing since 2014
New Delhi: India, under Prime Minister Narendra Modi, has transformed, gaining a position in thâ€¦ [+3845 chars]",business,in
,,,"{'id': None, 'name': 'Livemint'}",Devesh Kumar,"Goldman Sachs plans fresh round of layoffs, likely to affect 250 jobs - Mint","Goldman Sachs is considering a third round of layoffs, with less than 250 employees expected to be affected, as the bank recalculates costs amid the slow rebound in deal-making",https://www.livemint.com/companies/news/goldman-sachs-plans-fresh-round-of-layoffs-likely-to-affect-250-jobs-11685522455398.html,https://www.livemint.com/lm-img/img/2023/05/31/600x338/GOLDMAN-SACHS-LAYOFFS--0_1685523444647_1685523474703.JPG,2023-05-31T09:04:45Z,"In what would be its third round of layoffs in a year, Goldman Sachs is mulling over another round of jobs and about 250 employees are likely to be affected. The buzz around the fresh layoffs came atâ€¦ [+1801 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,"Chart Check: Down over 20% from highs, this Sensex stock could be a value pick post breakout from rounding - The Economic Times","Bajaj Finserv's stock has fallen over 20% from its September highs, but a recent breakout from a rounding bottom pattern suggests more upside. The stock could potentially reach its 200-day moving average at Rs 1,512, and a close above that could take the stocâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/chart-check-down-over-20-from-highs-this-sensex-stock-could-be-a-value-pick-post-breakout-from-rounding-bottom/articleshow/100644422.cms,"https://img.etimg.com/thumb/msid-100644544,width-1070,height-580,imgsize-24476,overlay-etmarkets/photo.jpg",2023-05-31T08:12:00Z,"The stock of Bajaj Finserv, part of the S&amp;P BSE Sensex index, is down by over 20% from its September 2022 highs but a breakout from a rounding bottom pattern on the daily charts suggests further â€¦ [+2377 chars]",business,in
,,,"{'id': None, 'name': 'India Today'}",Ankita Garg,"TCS warns employees over work from office rules, says action will be taken if they fail to comply - India Today",TCS has issued a warning to employees to comply with the companyâ€™s work from office policy. It wants people to work from office for three days a week. It has made it clear that strict action will be taken if they fail to follow the rules.,https://www.indiatoday.in/technology/news/story/tcs-warns-employees-over-work-from-office-rules-says-action-will-be-taken-if-they-fail-to-comply-2386840-2023-05-31,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202305/tcs-sixteen_nine.jpg?VersionId=e__bXvuAUmd49b58DMTPrIaaeCzmjfIP,2023-05-31T08:10:32Z,"By Ankita Garg: TCS has issued a warning to employees to comply with the companyâ€™s work from office policy. It wants people to work from office for three days a week, which is 12 days a month. TCS haâ€¦ [+2171 chars]",business,in
,,,"{'id': None, 'name': 'Cointelegraph'}",Arijit Sarkar,Indian banks asked 'to prepare for the future' with AI and blockchain - Cointelegraph,"Technological disruptions, evolving customer expectations and cybersecurity threats among others have put forth new sets of risks for the banks, said RBI deputy governor MK Jain.",https://cointelegraph.com/news/indian-banks-asked-to-prepare-for-the-future-with-ai-and-blockchain,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2023-05/4a9b259d-8140-43df-891f-d850982b8df3.jpg",2023-05-31T08:03:45Z,"A top federal official representing Indias central bank has recommended all banks adopt artificial intelligence and blockchain technology to ensure sustainable growth and stability.
At a conference â€¦ [+2186 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,Suzlon Energy shares jump 11% post Q4 earnings - The Economic Times,"Suzlon Energy's shares rose by almost 11% to Rs 11.8 on Wednesday, following the company's net profit of Rs 320 crore for Q4 ended March. It recorded a consolidated net loss of Rs 205.52 crore during the same period in 2022. Besides, the company announced itsâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/suzlon-energy-shares-jump-11-post-q4-earnings/articleshow/100642608.cms,"https://img.etimg.com/thumb/msid-100642608,width-1070,height-580,imgsize-402360,overlay-etmarkets/photo.jpg",2023-05-31T07:00:57Z,Shares of Suzlon Energy jumped nearly 11% to Rs 11.8 in Wednesday's trade on BSE after the company posted a consolidated net profit of Rs 320 crore for the three months ended March quarter on lower eâ€¦ [+2458 chars],business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Sneha Kulkarni,Fixed deposit: This bank offers up to 9% FD interest rate to senior citizens - The Economic Times,"Jana Small Finance Bank revised FD interest rates. According to the Jana Small Finance Bank website, the new rates will be effective on May 30, 2023.",https://economictimes.indiatimes.com/wealth/invest/fixed-deposit-this-bank-offers-up-to-9-fd-interest-rate-to-senior-citizens/articleshow/100642162.cms,"https://img.etimg.com/thumb/msid-100642133,width-1070,height-580,imgsize-458414,overlay-etwealth/photo.jpg",2023-05-31T06:53:49Z,"Jana Small Finance Bank has revised its interest rates on fixed deposits of less than Rs 2 crore. The new rates are applicable from May 30, 2023, according to Jana Small Finance Bank website.Latest Jâ€¦ [+2885 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Navdeep Singh,Sona BLW Precision shares slip over 5% amid block deal buzz - The Economic Times,Shares of Sona BLW Precision Forgings (Sona Comstar) fell over 5% to Rs 505.2 in Wednesday's trade amid reports of a large block deal executed on the counter. The promoter Aureus Investment was likely to sell a 3.25% stake in Sona BLW Precision Forgings via aâ€¦,https://economictimes.indiatimes.com/markets/stocks/news/sona-blw-precision-shares-slip-over-5-amid-block-deal-buzz/articleshow/100642316.cms,"https://img.etimg.com/thumb/msid-100642307,width-1070,height-580,imgsize-1320125,overlay-etmarkets/photo.jpg",2023-05-31T06:51:55Z,"Shares of Sona BLW Precision Forgings (Sona Comstar) fell over 5% to Rs 505.2 in Wednesday's trade amid reports of a large block deal executed on the counter.According to reports, promoter Aureus Invâ€¦ [+1883 chars]",business,in
,,,"{'id': None, 'name': 'Hindustan Times'}",Bloomberg,"Musk 'overpaid', bought Twitter for $44bn. Now it is worth onlyâ€¦ - Hindustan Times","Musk has acknowledged he overpaid for Twitter, which he bought for $44 billion, including $33.5 billion in equity.",https://www.hindustantimes.com/business/twitter-is-now-worth-just-one-third-of-elon-musk-s-purchase-price-fidelity-101685514753679.html,https://www.hindustantimes.com/ht-img/img/2023/05/31/1600x900/MUSK-CHINA--3_1685516653224_1685516669879.JPG,2023-05-31T06:47:43Z,"Twitter is now worth just one-third of what Elon Musk paid for the social-media platform, according to Fidelity, which recently marked down the value of its equity stake in the company.
Elon Musk(REâ€¦ [+1473 chars]",business,in
,,,"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol News,ONGC leads losers' league on Nifty; brokerages maintain 'reduce' call - Moneycontrol,"The share touched a 52-week high of Rs 168.95 and a 52-week low of Rs 119.80 on 12 May, 2023 and 06 July, 2022, respectively.",https://www.moneycontrol.com/news/business/stocks/ongc-leads-losers-league-on-nifty-brokerages-maintain-reduce-call-10707981.html,https://images.moneycontrol.com/static-mcnews/2022/04/ONGC-770x433.jpg,2023-05-31T06:44:34Z,"Shares of state-run Oil and Natural Gas Corporation (ONGC) traded downÂ 2 percent intraday on May 31 and remained top losers on the Nifty50 index.
Broking house Nomura has kept 'reduce' rating on theâ€¦ [+2477 chars]",business,in
,,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Shivendra Kumar,"Momentum Pick: Will M&Mâ€™s outperformance over Nifty50, Nifty Auto continue? - The Economic Times","Mahindra & Mahindra (M&M) stock has outperformed both Nifty50 and Nifty Auto indices and recent momentum indicators suggest it's in an overbought zone. M&M stock could still see a 15-20% uptick aided by a supportive chart structure and good fundamentals, althâ€¦",https://economictimes.indiatimes.com/markets/stocks/news/momentum-pick-will-mms-outperformance-over-nifty50-nifty-auto-continue/articleshow/100641728.cms,"https://img.etimg.com/thumb/msid-100641849,width-1070,height-580,imgsize-14782,overlay-etmarkets/photo.jpg",2023-05-31T06:36:46Z,Mahindra &amp; Mahindra (M&amp;M) stock has outperformed not just Nifty50 but also the sectoral index Nifty Auto and momentum indicators suggest that the stock is trading in an overbought zone. Will â€¦ [+3210 chars],business,in
